M355: [3, 2, 2, 4, 5, 3, 3, 3, 5, 2]
M356: [3, 1, 4, 3, 4, 2, 2, 2, 2, 3]
M357: [3, 2, 3, 3, 5, 3, 3, 2, 1, 5]
M358: [3, 2, 4, 3, 4, 2, 2, 2, 2, 4]
M359: [3, 2, 4, 4, 4, 2, 2, 2, 1, 4]
M360: [3, 1, 4, 5, 4, 2, 2, 2, 3, 4]
M361: [2, 2, 3, 5, 4, 2, 2, 2, 3, 3]
M362: [3, 2, 4, 4, 4, 2, 2, 2, 3, 4]
M363: [4, 2, 4, 4, 4, 2, 2, 2, 3, 5]
M364: [4, 2, 4, 5, 4, 2, 2, 2, 4, 5]
M365: [4, 3, 3, 3, 4, 2, 2, 2, 3, 4]
M366: [4, 3, 4, 3, 4, 2, 2, 2, 4, 4]
M367: [4, 3, 4, 4, 4, 2, 2, 2, 4, 5]
M368: [3, 2, 3, 4, 4, 2, 2, 2, 5, 1]
M369: [2, 1, 3, 4, 4, 3, 3, 4, 3, 1]
M370: [2, 1, 4, 5, 4, 3, 3, 4, 3, 3]
M371: [3, 1, 4, 4, 4, 3, 3, 4, 2, 2]
M372: [3, 2, 3, 4, 4, 3, 3, 4, 2, 2]
M373: [3, 1, 3, 3, 4, 3, 3, 4, 3, 1]
M374: [4, 1, 4, 3, 4, 3, 3, 4, 3, 3]
M375: [3, 1, 5, 3, 3, 2, 2, 2, 2, 3]
M376: [3, 2, 5, 3, 3, 2, 2, 2, 2, 4]
M377: [3, 2, 5, 4, 3, 2, 2, 1, 3, 5]
M378: [4, 1, 5, 2, 3, 2, 2, 2, 2, 3]
M379: [4, 2, 5, 2, 3, 2, 2, 2, 3, 5]
M380: [4, 2, 5, 3, 3, 2, 2, 1, 2, 4]
M381: [3, 1, 4, 2, 3, 2, 2, 2, 4, 1]
M382: [4, 1, 5, 2, 3, 2, 2, 3, 4, 4]
M383: [4, 2, 5, 2, 3, 2, 2, 3, 4, 5]
M384: [4, 3, 5, 2, 3, 2, 2, 3, 5, 5]
M385: [2, 1, 4, 4, 3, 2, 2, 3, 1, 2]
M386: [3, 1, 4, 4, 3, 2, 2, 4, 1, 4]
M387: [2, 1, 5, 5, 3, 2, 2, 2, 3, 3]
M388: [3, 1, 5, 5, 3, 2, 2, 4, 4, 5]
M389: [3, 2, 5, 4, 3, 2, 2, 3, 4, 4]
M390: [3, 1, 5, 4, 4, 2, 3, 3, 5, 2]
M391: [4, 3, 5, 3, 3, 2, 2, 2, 4, 4]
M392: [3, 2, 4, 4, 3, 2, 2, 3, 6, 1]
M393: [3, 1, 4, 3, 4, 2, 3, 4, 3, 1]
M394: [4, 1, 5, 3, 4, 2, 3, 4, 3, 3]
M395: [5, 1, 5, 2, 3, 2, 2, 2, 3, 3]
M396: [5, 3, 5, 2, 3, 2, 2, 4, 5, 5]
M397: [2, 1, 2, 5, 4, 1, 3, 5, 1, 4]
M398: [2, 1, 3, 5, 3, 1, 2, 4, 1, 2]
M399: [3, 1, 3, 4, 3, 1, 2, 4, 1, 2]
M400: [2, 1, 2, 6, 5, 1, 4, 5, 5, 5]
M401: [2, 1, 3, 6, 4, 1, 3, 4, 4, 2]
M402: [3, 1, 3, 5, 4, 1, 3, 4, 4, 2]
M403: [2, 1, 3, 6, 4, 2, 3, 4, 5, 2]
M404: [3, 1, 3, 5, 4, 2, 3, 4, 5, 2]
M405: [2, 1, 3, 5, 3, 1, 2, 3, 3, 1]
M406: [2, 1, 4, 6, 3, 1, 2, 3, 3, 3]
M407: [3, 1, 4, 5, 3, 1, 2, 3, 2, 2]
M408: [3, 1, 3, 4, 3, 1, 2, 3, 3, 1]
M409: [4, 1, 4, 4, 3, 1, 2, 3, 3, 3]
M410: [3, 1, 3, 5, 4, 3, 3, 5, 5, 2]
M411: [2, 1, 3, 5, 3, 2, 2, 4, 3, 1]
M412: [2, 1, 4, 6, 3, 2, 2, 4, 3, 3]
